Date,Bill of Lading,Location,Customer,Product,Volume,,
3/01/2024,8141235345,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"47,738",,
3/01/2024,8141235345,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,665",,
3/01/2024,8141235345,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,907",,
3/01/2024,8141243661,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"44,227",,
3/01/2024,8141243661,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"47,773",,
3/01/2024,8141243661,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,693",,
3/01/2024,8141243661,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,909",,
3/01/2024,8141239897,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"44,158",,
3/01/2024,8141239897,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"47,868",,
3/01/2024,8141239897,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,689",,
3/01/2024,8141239897,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,915",,
3/01/2024,8141239898,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"37,237",,
3/01/2024,8141239898,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"40,536",,
3/01/2024,8141239898,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,268",,
3/01/2024,8141239898,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,"2,469",,
3/01/2024,8141279375,AU TERM KEWDALE,BGC THE LAKES,ULSD 10PPM,"35,600",,
3/01/2024,8141279375,AU TERM KEWDALE,BGC THE LAKES,ULSD 10PPM,431,,
3/01/2024,8141279846,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,"37,465",,
3/01/2024,8141279846,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,"37,648",,
3/01/2024,8141279846,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,723,,
3/01/2024,8141279846,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,727,,
3/01/2024,8141288162,AU TERM KEWDALE,BFS ENERGY,ULSD 10PPM,"38,012",,
3/01/2024,8141288162,AU TERM KEWDALE,BFS ENERGY,ULSD 10PPM,408,,
3/01/2024,8141290877,AU TERM KEWDALE,SOUTH32 WORSLEY REFINERY GARAGE,ULSD 10PPM,"24,504",,
3/01/2024,8141290877,AU TERM KEWDALE,SOUTH32 WORSLEY REFINERY GARAGE,ULSD 10PPM,"1,127",,
3/01/2024,8141290877,AU TERM KEWDALE,SOUTH32 WORSLEY REFINERY GARAGE,Regular Unleaded Petrol 91 Octane,"1,001",,
3/01/2024,8141290877,AU TERM KEWDALE,SOUTH32 WORSLEY REFINERY GARAGE,Regular Unleaded Petrol 91 Octane,46,,
3/01/2024,8141293722,AU TERM KEWDALE,AWR FORRESTFIELD T70 CARRIER,BP ULTIMATE DIESEL,"37,596",,
3/01/2024,8141293722,AU TERM KEWDALE,AWR FORRESTFIELD T70 CARRIER,BP ULTIMATE DIESEL,"8,249",,
3/01/2024,8141293722,AU TERM KEWDALE,AWR FORRESTFIELD T70 CARRIER,BP ULTIMATE DIESEL,696,,
3/01/2024,8141293722,AU TERM KEWDALE,AWR FORRESTFIELD T70 CARRIER,BP ULTIMATE DIESEL,153,,
3/01/2024,8141293723,AU TERM KEWDALE,LINFOX HAZELMERE (DEL),ULSD 10PPM,"30,998",,
3/01/2024,8141293723,AU TERM KEWDALE,LINFOX HAZELMERE (DEL),ULSD 10PPM,275,,
3/01/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,"35,484",,
3/01/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,"38,095",,
3/01/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,717,,
3/01/2024,8141287267,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,770,,
