event_id,vehicle_id,vehicle,driver,detection_time,utc_offset,event_type,detected_event_type,duration_seconds,speed_kph,travel_metres,latitude,longitude,audio_alert,vibration_alert,trip_distance_metres,trip_time_seconds,confirmation,confirmation_time,classification,fleet,timezone,account,service_provider,shift,crew,guardian_unit,software_version,labels,,,
2423600373,131067,1HXX939,,4/2/2024,480,fatigue,fatigue,1.8,74,36,-27.9726,120.3204,yes,yes,262489,11680,verified,4/2/2024,drowsiness,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011943,1.4.7.493490,,,,
2423599892,100956,1HQO889,,4/2/2024,480,fatigue,fatigue,2.2,100,61,-32.8875,116.6932,yes,yes,139190,7913,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00013780,1.4.7.493490,,,,
2423599909,37775,1DBC759,,4/2/2024,480,fatigue,fatigue,1.6,97,43,-31.6277,117.7748,yes,yes,47783,2127,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011087,1.4.7.493490,,,,
2423600034,21373,MD8410,,4/2/2024,480,fatigue,fatigue,1.9,95,49,-31.6638,118.391,yes,yes,32831,1782,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423600165,21373,MD8410,,4/2/2024,480,fatigue,fatigue,1.7,96,44,-31.709,118.3966,yes,yes,37978,1993,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423600496,21373,MD8410,,4/2/2024,480,fatigue,fatigue,2.9,68,55,-31.8147,118.3968,yes,yes,49722,2471,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423600659,21373,MD8410,,4/2/2024,480,fatigue,fatigue,2.3,97,61,-31.8687,118.3962,yes,yes,55711,2717,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423600691,21373,MD8410,,4/2/2024,480,fatigue,fatigue,2.2,97,60,-31.8801,118.396,yes,yes,56981,2762,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423600700,21373,MD8410,,4/2/2024,480,fatigue,fatigue,1.6,97,44,-31.8821,118.396,yes,yes,57196,2770,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423601117,21373,MD8410,,4/2/2024,480,fatigue,fatigue,2.1,97,56,-32.0342,118.3959,yes,yes,74069,3426,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423602301,131067,1HXX939,,4/2/2024,480,fatigue,fatigue,1.5,85,36,-27.5291,120.5264,yes,yes,353979,15509,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011943,1.4.7.493490,,,,
2423627026,59456,1HCR815,,4/3/2024,480,fatigue,fatigue,1.9,87,45,-31.621,116.6886,yes,yes,89859,5132,normal driving,4/3/2024,yawning,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00002622,1.4.7.493490,,,,
2423641548,101697,1HSO643,,4/3/2024,480,fatigue,fatigue,1.9,,,,,yes,yes,0,124,normal driving,4/3/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
2423643785,59854,1GAQ157,,4/3/2024,480,fatigue,fatigue,27.2,98,741,-29.0376,114.976,yes,yes,50305,2850,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1001229-S00005292,1.4.7.493490,,,,
2423643841,59854,1GAQ157,,4/3/2024,480,fatigue,fatigue,6.1,96,164,-29.0413,114.9947,yes,yes,52174,2920,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1001229-S00005292,1.4.7.493490,,,,
2423644400,59854,1GAQ157,,4/3/2024,480,fatigue,fatigue,3.6,45,45,-29.071,115.0962,yes,yes,62722,3330,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1001229-S00005292,1.4.7.493490,,,,
2423651152,10840,1ECE505,,4/3/2024,480,fatigue,fatigue,3,,,,,yes,yes,0,6330,normal driving,4/3/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
2423651158,10840,1ECE505,,4/3/2024,480,fatigue,fatigue,1.7,,,,,yes,yes,0,6335,normal driving,4/3/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P04025-S00009434,4.6.1.428552,,,,
2423652765,21373,MD8410,,4/3/2024,480,fatigue,fatigue,2.2,96,59,-32.4656,118.9551,yes,yes,14254,1598,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423652861,21373,MD8410,,4/3/2024,480,fatigue,fatigue,1.8,97,48,-32.464,118.9507,yes,yes,14710,1615,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011129,1.4.7.493490,,,,
2423665961,131067,1HXX939,,4/3/2024,480,fatigue,fatigue,2,94,53,-27.9535,119.7479,yes,yes,184904,8534,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011943,1.4.7.493490,,,,
2423663746,112335,1HUT976,,4/3/2024,480,fatigue,fatigue,1.5,20,8,-27.466,120.5637,yes,yes,1758,223,normal driving,4/3/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011083,1.4.7.493490,,,,
