Date,Bill of Lading,Location,Customer,Product,Volume
,,,,,
GERALDTON 3PL TOTAL,,,,,
09.06.2025,8148343959,AU TERM KALGOORLIE,AGNEW GATEHOUSE,ULSD 10PPM,"18,300"
09.06.2025,8148358207,AU TERM KALGOORLIE,KCGM MT CHARLOTTE,ULSD 10PPM,"16,471"
09.06.2025,8148358208,AU TERM KALGOORLIE,AGNEW WAROONGA,ULSD 10PPM,"28,544"
09.06.2025,8148358208,AU TERM KALGOORLIE,AGNEW WAROONGA,ULSD 10PPM,"46,682"
09.06.2025,8148358208,AU TERM KALGOORLIE,AGNEW WAROONGA,ULSD 10PPM,"46,811"
09.06.2025,8148361752,AU TERM KALGOORLIE,TOLEDO AUSCO - Mill,ULSD 10PPM,"37,210"
09.06.2025,8148361974,AU TERM KALGOORLIE,DYNO NOBEL KALGOORLIE ANFO,ULSD 10PPM,"7,301"
09.06.2025,8148327856,AU TERM KALGOORLIE,KCGM MT CHARLOTTE,ULSD 10PPM,"16,462"
09.06.2025,8148356369,AU TERM KALGOORLIE,ST IVES ATHENA (S064),ULSD 10PPM,"8,701"
09.06.2025,8148366000,AU TERM KALGOORLIE,ST IVES NEPTUNE (S067),ULSD 10PPM,"28,524"
09.06.2025,8148366000,AU TERM KALGOORLIE,ST IVES NEPTUNE (S067),ULSD 10PPM,"25,900"
09.06.2025,8148358166,AU TERM KALGOORLIE,ST IVES INVINCIBLE (S068),ULSD 10PPM,"14,699"
09.06.2025,8148358166,AU TERM KALGOORLIE,ST IVES INVINCIBLE (S068),ULSD 10PPM,"40,930"
09.06.2025,8148357658,AU TERM KALGOORLIE,SILVER LAKE SANTA MINE,ULSD 10PPM,"32,663"
09.06.2025,8148357658,AU TERM KALGOORLIE,SILVER LAKE SANTA MINE,ULSD 10PPM,"42,500"
10.06.2025,8148365277,AU TERM KALGOORLIE,NSR - STH KALG - ACM/NSMS SURFACE,ULSD 10PPM,-223
10.06.2025,8148365277,AU TERM KALGOORLIE,NSR - STH KALG - ACM/NSMS SURFACE,ULSD 10PPM,"16,471"
01.06.2025,8148251281,AU TERM KALGOORLIE,KARORA BETA HUNT MINING,ULSD 10PPM,"-32,661"
01.06.2025,8148251281,AU TERM KALGOORLIE,KARORA BETA HUNT MINING,ULSD 10PPM,"-42,501"
08.06.2025,369314/15/16/17,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,-626
08.06.2025,369314/15/16/17,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,-412
08.06.2025,369314/15/16/17,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,-602
08.06.2025,369314/15/16/17,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,-707
08.06.2025,369314/15/16/17,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,"36,803"
08.06.2025,369314/15/16/17,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,"24,251"
08.06.2025,369314/15/16/17,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,"35,395"
08.06.2025,369314/15/16/17,AU TERM KALGOORLIE,NSR CDO OPERATIONS (DELIVERED),ULSD 10PPM,"41,580"
09.06.2025,369324/369325,AU TERM KALGOORLIE,AGNEW WAROONGA,ULSD 10PPM,"-1,558"
09.06.2025,369324/369325,AU TERM KALGOORLIE,AGNEW WAROONGA,ULSD 10PPM,"-1,389"
09.06.2025,369324/369325,AU TERM KALGOORLIE,AGNEW WAROONGA,ULSD 10PPM,"41,502"
09.06.2025,369324/369325,AU TERM KALGOORLIE,AGNEW WAROONGA,ULSD 10PPM,"37,002"
10.06.2025,8148357825,AU TERM KALGOORLIE,TOLEDO AUSCO - MLG SURFACE,ULSD 10PPM,-758
10.06.2025,8148357826,AU TERM KALGOORLIE,TOLEDO AUSCO - KUNDANA POWER STATIO,ULSD 10PPM,-424
10.06.2025,8148365272,AU TERM KALGOORLIE,KARORA HIGGINSVILLE POWER LV,ULSD 10PPM,-638
10.06.2025,8148365272,AU TERM KALGOORLIE,KARORA HIGGINSVILLE POWER LV,ULSD 10PPM,-477
10.06.2025,8148363716,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,-646
10.06.2025,8148363716,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,-706
10.06.2025,8148363716,AU TERM KALGOORLIE,NSR PORPHYRY OPERATIONS (DELIVERED),ULSD 10PPM,-703
10.06.2025,8148327859,AU TERM KALGOORLIE,NSR - ORELIA MINE SITE SURFACE,ULSD 10PPM,"-1,860"
