Date,Bill of Lading,Location,Customer,Product,Volume,,
1/2/2024,GRANT ROBINSON,AU TERM KEWDALE,AU AIRPT CARNARVON,JET A-1,"2,879",,
1/2/2024,GRANT ROBINSON,AU TERM KEWDALE,AU AIRPT CARNARVON,JET A-1,"2,640",,
1/2/2024,8141286771,AU TERM KEWDALE,LINFOX - KEWDALE (DEL),ULSD 10PPM,"7,495",,
1/2/2024,8141286771,AU TERM KEWDALE,LINFOX - KEWDALE (DEL),ULSD 10PPM,66,,
1/2/2024,8141279378,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,"42,946",,
1/2/2024,8141279378,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,"38,048",,
1/2/2024,8141279378,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,820,,
1/2/2024,8141279378,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,727,,
1/2/2024,8141288161,AU TERM KEWDALE,AWR - PICTON TRIP SERVICE - A25718,BP ULTIMATE DIESEL,"37,595",,
1/2/2024,8141288161,AU TERM KEWDALE,AWR - PICTON TRIP SERVICE - A25718,BP ULTIMATE DIESEL,"42,996",,
1/2/2024,8141288161,AU TERM KEWDALE,AWR - PICTON TRIP SERVICE - A25718,BP ULTIMATE DIESEL,741,,
1/2/2024,8141288161,AU TERM KEWDALE,AWR - PICTON TRIP SERVICE - A25718,BP ULTIMATE DIESEL,847,,
1/2/2024,8141287263,AU TERM KEWDALE,AWR - KWINANA - A25713,BP ULTIMATE DIESEL,"37,600",,
1/2/2024,8141287263,AU TERM KEWDALE,AWR - KWINANA - A25713,BP ULTIMATE DIESEL,"43,000",,
1/2/2024,8141287263,AU TERM KEWDALE,AWR - KWINANA - A25713,BP ULTIMATE DIESEL,335,,
1/2/2024,8141287263,AU TERM KEWDALE,AWR - KWINANA - A25713,BP ULTIMATE DIESEL,383,,
1/2/2024,TERRY HARROP,AU TERM KEWDALE,AU AIRPT JANDAKOT,JET A-1,"29,685",,
1/2/2024,TERRY HARROP,AU TERM KEWDALE,AU AIRPT JANDAKOT,JET A-1,657,,
