event_id,vehicle,detection_time,event_type,detected_event_type,eventDetectionType,confirmationState,classification,confirmation,fleet,guardian_unit
2454981580,1ETO041,6/3/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010891
2454686386,1GDJ946,5/29/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010824
2454581914,1HLK502,5/28/2025,fatigue,fatigue,fatigue,verified,fatigue - drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00001816
2454477369,1GFN535,5/27/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010741
2454451781,1GCE176,5/26/2025,fatigue,fatigue,fatigue,verified,fatigue - microsleep,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010875
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
